dateTime,id,value
2023-11-15 06:25:45.000,15411,0.0
2023-11-15 06:25:45.000,15421,13420.0
2023-11-15 06:25:45.000,22001,0.0
2023-11-15 06:25:45.100,15411,-0.019162483823976867
2023-11-15 06:25:45.100,22001,-0.0644945940351993
2023-11-15 06:25:46.100,22001,0.023711312622967134
2023-11-15 06:25:47.100,22001,-0.1539185683520149
2023-11-15 06:25:48.100,22001,-0.003994462505544236
2023-11-15 06:25:49.200,22001,0.0921470009064818
2023-11-15 06:25:50.200,22001,0.052292286045132585
2023-11-15 06:25:51.200,22001,0.03413397060276095
2023-11-15 06:25:52.200,22001,-0.009397741893820352
2023-11-15 06:25:53.300,22001,0.10269105719415975
2023-11-15 06:25:54.300,22001,-0.0686980771698059
2023-11-15 06:25:55.100,15411,-0.008520883011120778
2023-11-15 06:25:55.300,22001,-0.042633524055341175
2023-11-15 06:25:56.300,22001,1.6730082914381812
2023-11-15 06:25:57.300,22001,8.157357109920675
2023-11-15 06:25:58.300,22001,12.55405222617471
2023-11-15 06:25:59.300,22001,12.065065784507492
2023-11-15 06:26:00.300,22001,19.224238285411662
2023-11-15 06:26:01.300,22001,21.825393943942316
2023-11-15 06:26:02.300,22001,24.911383070676575
2023-11-15 06:26:03.300,22001,30.034876189840666
2023-11-15 06:26:04.300,22001,32.20602162324135
2023-11-15 06:26:05.100,15411,32.99401671093862
2023-11-15 06:26:05.300,22001,35.29432804275725
2023-11-15 06:26:06.300,22001,35.79462276821738
2023-11-15 06:26:07.300,22001,44.49321985634319
2023-11-15 06:26:08.300,22001,48.077053745777526
2023-11-15 06:26:09.300,22001,46.60684273055364
2023-11-15 06:26:10.300,22001,54.317895380612654
2023-11-15 06:26:11.300,22001,54.759577657973146
2023-11-15 06:26:12.300,22001,56.330780029760064
2023-11-15 06:26:13.300,22001,60.529460215045034
2023-11-15 06:26:14.300,22001,66.09446807721731
2023-11-15 06:26:15.100,15411,65.92137475984458
2023-11-15 06:26:15.300,22001,65.6701953481822
2023-11-15 06:26:16.300,22001,70.06672929778703
2023-11-15 06:26:17.300,22001,76.20574517924285
2023-11-15 06:26:18.300,22001,76.06797728353261
2023-11-15 06:26:19.300,22001,84.44084693962229
2023-11-15 06:26:20.300,22001,87.4967417996157
2023-11-15 06:26:21.300,22001,90.1686836201589
2023-11-15 06:26:22.300,22001,93.6502252154873
2023-11-15 06:26:23.300,22001,96.64700067091586
2023-11-15 06:26:24.300,22001,95.68286354413833
2023-11-15 06:26:25.100,15411,102.71967548998609
2023-11-15 06:26:25.300,22001,104.64756123908077
2023-11-15 06:26:26.300,22001,82.79186218344869
2023-11-15 06:26:27.300,22001,190.84174351566452
2023-11-15 06:26:28.300,22001,126.09182339158716
2023-11-15 06:26:29.300,22001,128.3736534964192
2023-11-15 06:26:30.300,22001,132.41160908716785
2023-11-15 06:26:31.300,22001,135.90107290305158
2023-11-15 06:26:32.300,22001,134.2771481356188
